x-box,y-box,ancho,alto,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx,letra
261,166,49,62,588,-31.28125,3.5,2191.5625,2865.6875,1.81689453125,-10204.84375,-1350.8125,56,1850,91,2968,C
110,163,55,63,812,-59.1875,26.609375,2913.28125,3627.390625,9.83203125,-18348.6875,8050.109375,67,2135,88,2874,C
185,162,55,66,825,-41.625,5.765625,2889.71875,3826.203125,21.8239746094,-14623.21875,5422.734375,73,2390,85,2643,C
415,160,47,65,1058,-36.234375,12.015625,3592.859375,4388.078125,-0.1943359375,-8038.359375,3684.484375,82,2631,82,2739,C
390,87,45,59,718,-15.453125,-3.703125,2083.609375,2645.796875,23.0092773438,-6797.890625,1193.203125,86,2764,89,2864,C
332,87,38,58,1207,-20.703125,22.453125,2780.109375,4350.015625,5.82690429688,-5336.234375,9619.828125,73,2292,72,2364,C
181,87,59,59,897,-31.59375,20.59375,3060.3125,4225.03125,13.5712890625,-8211.5625,3549.8125,57,1791,92,3057,C
105,86,53,60,1011,-22.171875,-10.46875,3090.703125,3344.96875,30.1791992188,-3948.796875,784.25,81,2643,82,2644,C
262,82,49,64,939,-29.828125,10.734375,2963.265625,3940.359375,14.6069335938,-7535.359375,4493.015625,63,1986,85,2797,C
329,17,49,49,538,-40.65625,4.390625,1780.4375,2219.171875,0.5400390625,-17500.84375,1216.390625,78,2490,83,2454,C
262,8,57,58,543,-44.828125,13.71875,2080.890625,2081.78125,21.8127441406,-16903.515625,7331.46875,73,2357,82,2433,C
111,6,47,58,948,-32.9375,26.25,2680.5,3885.03125,16.6459960938,-10235.65625,9065.34375,62,1955,85,2759,C
401,3,65,65,858,-46.15625,18.9375,3028.28125,3620.96875,11.587890625,-23177.65625,7348.59375,85,2675,93,2859,C
177,0,63,73,856,-63.578125,9.859375,3257.359375,4520.359375,-2.666015625,-27283.796875,4024.328125,66,2070,91,2921,C
333,268,45,51,822,-1.9375,-1.03125,2861.125,3659.40625,0.1962890625,5196.78125,-499.125,88,2816,83,2525,D
262,268,46,52,862,10.75,-14.625,2801.8125,3227.1875,1.34057617188,12406.375,-6730.59375,91,2933,77,2422,D
187,260,57,59,1706,-31.046875,-32.265625,5122.578125,5849.390625,13.9533691406,-6679.421875,-9684.203125,86,2746,79,2269,D
397,259,54,60,1165,-31.484375,-3.03125,4570.296875,4751.9375,0.90283203125,-13534.484375,-2582.1875,89,2867,81,2519,D
108,258,55,61,1584,-62.375,-0.734375,6211.59375,6045.953125,-1.15893554688,-34359.5,-291.359375,84,2688,75,2300,D
352,167,43,58,1512,-49.03125,31.4375,4357.46875,5211.0625,-5.95288085938,-16394.4375,17247.96875,84,2696,66,1987,D
282,166,47,61,802,-51.296875,-20.796875,3505.265625,2997.203125,6.68017578125,-21845.078125,-9718.484375,93,2997,80,2472,D
196,165,59,63,1023,-39.28125,-36.953125,4099.8125,3907.640625,10.96484375,-12038.90625,-22295.921875,87,2838,88,2675,D
109,163,68,65,1003,-6.296875,-34.75,3779.703125,4181.8125,7.33129882812,9280.765625,-12311.5,105,3506,98,2942,D
441,159,42,67,1514,-70.1875,25.28125,4696.125,5452.53125,1.5869140625,-28646.40625,11548.75,86,2719,67,2012,D
414,88,47,59,829,-5.984375,-11.859375,2265.171875,2979.671875,22.0209960938,439.984375,-5665.171875,94,3008,86,2591,D
354,86,40,59,1390,-85.25,3.765625,3919.75,4457.859375,-3.3837890625,-28875.03125,1186.890625,81,2577,65,1993,D
186,86,67,62,1061,65.296875,-51.453125,2856.390625,3904.859375,4.94653320312,32871.046875,-17959.484375,85,2678,89,2833,D
102,86,59,60,1145,4.875,-28.359375,3134.34375,3742.421875,35.0859375,5638.5,-12696.140625,84,2721,78,2461,D
278,81,52,67,1239,-66.5,33.203125,4778.0,4706.109375,-9.90014648438,-28940.28125,22173.109375,89,2794,79,2425,D
344,18,51,48,662,-22.765625,-19.484375,1988.484375,2075.203125,-6.87866210938,-1199.046875,-10125.640625,82,2700,88,2755,D
273,12,58,54,762,1.53125,-14.296875,2645.09375,2681.078125,22.1923828125,5669.0,-6113.578125,92,2981,94,2863,D
423,6,60,59,1111,-63.046875,-46.625,4499.328125,4351.28125,11.4736328125,-24347.953125,-25714.53125,85,2778,91,2792,D
106,5,59,60,1098,25.59375,4.109375,2886.09375,4144.578125,15.4587402344,20710.21875,-399.203125,84,2721,84,2670,D
184,0,67,75,1131,-34.625,-23.25,5107.4375,4997.6875,-0.047119140625,-9180.59375,-16905.1875,94,3100,90,2779,D
313,268,45,51,988,-10.03125,6.203125,2810.75,4396.078125,-3.13110351562,4795.03125,2298.015625,85,2700,104,3233,E
253,268,39,52,818,-19.875,-4.078125,1671.46875,3374.078125,-3.82543945312,1002.5625,-2295.984375,65,2059,93,3088,E
182,261,51,58,1650,17.265625,33.328125,4278.078125,4731.140625,21.1572265625,7997.828125,9012.796875,77,2552,102,3653,E
380,258,39,61,1151,-87.34375,-6.484375,3260.5,5047.921875,1.32373046875,-25389.4375,1449.359375,55,1746,105,3471,E
108,258,50,61,1556,-107.046875,-3.234375,5188.765625,6547.328125,-2.16625976562,-39854.328125,1105.453125,51,1632,116,4017,E
320,168,40,57,1376,-63.46875,9.6875,2829.6875,5645.4375,-4.65673828125,-11576.4375,5462.1875,51,1632,92,3048,E
258,167,40,59,762,-84.625,0.625,2709.34375,3616.8125,-3.32177734375,-28653.4375,533.59375,58,1797,110,3509,E
180,164,53,63,1043,-60.5625,5.6875,2885.3125,4325.65625,12.17578125,-19092.0,3576.8125,57,1779,115,3722,E
110,163,55,63,949,-85.875,-17.375,2206.21875,4040.03125,3.77978515625,-19765.78125,-8013.78125,58,1875,110,3258,E
407,157,44,68,1400,-146.546875,-30.359375,4094.453125,6266.265625,8.076171875,-48189.203125,-8787.921875,53,1696,91,2833,E
379,87,53,57,627,-34.5625,-18.8125,1499.78125,2484.34375,21.1857910156,-8975.96875,-10007.40625,55,1715,85,2541,E
321,87,40,58,1382,-66.390625,27.59375,3145.859375,5526.78125,1.07202148438,-15441.671875,5329.625,54,1711,98,3344,E
177,85,51,61,1023,12.265625,29.34375,2662.703125,3813.09375,24.4169921875,-84.015625,15552.09375,58,1888,101,3487,E
102,85,59,61,938,-54.65625,-6.8125,2089.25,3330.90625,27.1586914062,-14126.90625,-3725.125,56,1763,86,2691,E
252,80,48,68,1261,-102.609375,-16.140625,4137.734375,5909.109375,1.74926757812,-41540.765625,-6022.984375,58,1883,117,3740,E
326,16,45,50,714,-48.75,-24.40625,2183.03125,2556.53125,-0.36865234375,-16705.5,-12523.71875,63,1863,127,4081,E
249,8,65,59,661,-6.515625,2.265625,1532.796875,2256.234375,17.5512695312,-279.703125,2146.796875,90,2762,108,3400,E
110,5,56,62,995,-72.859375,-4.96875,2411.765625,3679.75,20.2761230469,-20614.984375,-6335.15625,66,2075,105,3250,E
396,3,59,63,1089,-67.515625,-4.625,3520.703125,4225.875,11.3740234375,-23668.328125,-2383.53125,61,1931,118,3817,E
175,0,59,71,1035,-54.40625,12.125,2702.125,5243.96875,-3.84375,-10221.59375,5745.40625,63,1985,113,3548,E
301,268,45,51,835,-42.765625,-44.546875,2054.984375,3632.359375,10.5031738281,-5243.640625,-17574.390625,72,2453,88,2531,F
240,268,38,51,708,-33.625,-53.21875,1322.40625,2527.71875,5.38403320312,-1508.59375,-23600.78125,58,1963,68,2178,F
178,261,44,58,1381,-38.375,-54.109375,2694.71875,4377.453125,20.2434082031,-5365.0625,-26565.765625,51,1632,72,2331,F
366,258,39,61,990,-106.203125,-63.796875,3005.453125,3668.953125,9.47338867188,-29734.109375,-30280.640625,54,1767,76,2400,F
108,258,46,62,1272,-134.0625,-99.765625,4114.8125,4395.546875,8.08374023438,-43639.96875,-44660.921875,51,1632,75,2479,F
312,168,37,57,1204,-73.046875,-69.875,2268.453125,4235.03125,9.79248046875,-10691.640625,-31068.3125,51,1632,67,2157,F
252,166,41,60,620,-96.359375,-57.015625,2373.984375,2509.984375,2.19311523438,-31631.703125,-26620.703125,54,1778,74,2230,F
181,164,49,64,815,-89.109375,-59.140625,2837.703125,2844.328125,11.5451660156,-30042.609375,-29794.765625,55,1785,82,2598,F
113,163,55,72,770,-105.75,-61.265625,2316.65625,3042.609375,5.51782226562,-29443.59375,-30801.046875,57,1889,89,2445,F
