x-box,y-box,ancho,alto,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx,letra
106,257,56,63,1095,-13.953125,4.7037037037,3812.015625,3609.48148148,-0.705439814815,-1073.234375,1912.92592593,64,1724,89,3006,C
331,168,37,58,889,-35.375,-35.5555555556,1779.28125,2714.74074074,-3.04253472222,-7015.4375,-12930.4444444,44,1201,69,2308,C
261,166,49,62,491,-27.578125,4.94444444444,1810.078125,2016.68518519,1.44791666667,-8658.953125,62.0555555556,48,1345,91,2968,C
110,163,55,63,694,-51.5,26.2777777778,2499.46875,2681.5,8.12818287037,-15914.1875,6538.5,56,1514,88,2874,C
185,162,55,66,675,-36.59375,8.57407407407,2363.84375,2605.16666667,17.3023726852,-12609.03125,5185.35185185,60,1617,85,2643,C
415,160,47,65,888,-28.921875,13.3888888889,2992.453125,3041.75925926,-0.190393518519,-6149.390625,4452.72222222,68,1826,82,2739,C
390,87,45,59,594,-12.453125,-3.62962962963,1732.203125,1844.88888889,19.1941550926,-5204.609375,545.703703704,70,1902,89,2864,C
332,87,38,58,1005,-18.125,19.7962962963,2337.28125,3006.24074074,4.55787037037,-4674.78125,5958.68518519,62,1651,72,2364,C
181,87,59,59,708,-32.390625,17.1851851852,2496.328125,2764.44444444,11.4085648148,-8702.671875,1838.2962963,49,1294,92,3057,C
105,86,53,60,844,-18.765625,-8.24074074074,2589.609375,2320.75925926,24.9832175926,-3316.609375,756.425925926,67,1851,82,2644,C
262,82,49,64,868,-24.203125,13.2407407407,2663.015625,3222.68518519,13.4155092593,-6199.140625,4648.01851852,55,1459,85,2797,C
329,17,49,49,454,-34.4375,6.48148148148,1492.1875,1598.33333333,0.701388888889,-14793.6875,1826.25925926,66,1777,83,2454,C
262,8,57,58,443,-37.953125,11.2222222222,1721.109375,1404.03703704,17.6223958333,-13971.265625,4403.22222222,60,1621,82,2433,C
111,6,47,58,773,-28.375,19.1481481481,2210.9375,2650.7037037,13.7037037037,-9021.0625,4869.25925926,52,1374,85,2759,C
401,3,65,65,714,-37.640625,17.7407407407,2508.515625,2479.0,9.57233796296,-18771.046875,5628.62962963,71,1850,93,2859,C
177,0,63,73,715,-53.671875,7.87037037037,2736.046875,3175.09259259,-2.28298611111,-23073.984375,2522.98148148,57,1516,91,2921,C
333,268,45,51,681,0.46875,0.0,2400.03125,2501.62962963,0.0451388888889,5222.90625,0.0,74,1998,83,2525,D
262,268,46,52,714,9.859375,-13.6481481481,2324.015625,2195.90740741,0.905092592593,11040.578125,-4375.2037037,76,2052,77,2422,D
187,260,57,59,1422,-24.578125,-26.9444444444,4268.296875,4037.68518519,11.4479166667,-5099.078125,-5700.27777778,74,1992,79,2269,D
397,259,54,60,975,-26.90625,-2.0,3841.46875,3329.0,0.352430555556,-11106.9375,-1340.55555556,75,2041,81,2519,D
108,258,55,61,1347,-54.203125,-0.259259259259,5243.171875,4329.07407407,-1.37268518519,-29184.953125,4.85185185185,70,1890,75,2300,D
352,167,43,58,1254,-41.015625,26.4074074074,3638.671875,3590.81481481,-4.7578125,-13677.046875,10577.8518519,72,1950,66,1987,D
282,166,47,61,668,-42.8125,-12.8888888889,2941.46875,2065.48148148,5.72309027778,-18348.0625,-4119.77777778,79,2151,80,2472,D
