x-box,y-box,ancho,alto,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx,letra
323,87,23,58,329,4.95652173913,-0.706896551724,74.0869565217,932.327586207,2.06446776612,75.3913043478,-570.706896552,45,1305,10,105,I
164,86,71,61,808,68.9014084507,37.0,3363.49295775,3262.96721311,24.6735165089,43017.5774648,22357.1967213,75,2361,93,3296,I
256,83,45,63,639,-5.64444444444,-2.71428571429,726.622222222,3288.84126984,0.0215167548501,373.555555556,1114.52380952,51,1624,58,1238,I
269,17,17,48,90,0.823529411765,-4.04166666667,5.29411764706,186.375,0.450980392157,4.70588235294,-574.666666667,35,840,10,77,I
207,11,51,55,229,-3.74509803922,-0.963636363636,294.921568627,700.709090909,7.77112299465,-238.803921569,-136.672727273,43,1197,52,1254,I
314,4,26,62,313,-7.69230769231,2.14516129032,102.769230769,969.693548387,5.53163771712,-145.692307692,627.983870968,49,1519,14,169,I
110,4,31,63,301,4.16129032258,0.0793650793651,172.096774194,956.682539683,8.35381464414,304.161290323,884.26984127,50,1575,18,261,I
153,0,39,73,599,22.3076923077,3.56164383562,392.512820513,3488.0,-3.01475237092,1002.61538462,5208.68493151,65,2349,46,857,I
330,268,46,52,265,2.30434782609,0.230769230769,462.043478261,978.538461538,6.9377090301,-1748.7826087,-2000.65384615,54,1269,46,999,J
269,268,33,61,232,40.5454545455,13.8196721311,388.242424242,1138.73770492,4.59264778937,2838.0,12323.2622951,56,1502,26,421,J
215,260,46,69,920,3.71739130435,-27.0579710145,1254.45652174,3954.07246377,19.1080655325,-990.847826087,-14792.9710145,77,2430,49,980,J
388,259,33,61,334,49.0909090909,14.6557377049,458.121212121,1241.40983607,6.61351217089,3039.63636364,6935.90163934,50,1491,22,347,J
144,257,45,63,691,81.2,58.3650793651,1699.28888889,2451.50793651,11.7968253968,13064.9333333,20939.031746,62,1821,32,688,J
337,168,34,69,547,46.5294117647,-14.1739130435,496.294117647,2331.13043478,7.19096334186,2348.58823529,-9956.08695652,56,1932,31,479,J
279,166,33,63,204,28.8181818182,4.04761904762,313.727272727,718.492063492,6.632996633,2014.09090909,2160.14285714,50,1575,22,356,J
209,163,49,63,421,50.1428571429,44.7936507937,1217.69387755,1735.9047619,10.8312277292,10530.5510204,18174.5079365,58,1707,36,846,J
135,162,66,77,576,24.5454545455,-11.1428571429,1210.45454545,3419.84415584,23.6137347501,-1254.45454545,-6809.14285714,73,2645,63,2041,J
416,158,40,66,690,73.65,6.37878787879,1009.15,2521.59090909,13.5390151515,6443.25,2074.1969697,64,1936,31,591,J
429,87,54,57,344,-12.8148148148,-5.36842105263,849.407407407,1177.71929825,13.673814165,-5909.25925926,-3016.10526316,70,1872,61,1508,J
373,87,35,59,432,48.7142857143,27.1355932203,606.142857143,1373.74576271,6.67312348668,3507.45714286,7679.27118644,56,1542,24,402,J
141,87,57,59,553,-3.66666666667,32.4576271186,1738.75438596,1417.57627119,21.2355040143,-1334.8245614,7728.42372881,65,1813,50,1315,J
215,86,65,74,907,75.8615384615,6.12162162162,3351.89230769,3510.41891892,23.530977131,30893.9846154,-248.391891892,117,4250,98,3317,J
302,82,52,67,635,6.57692307692,-5.59701492537,938.615384615,3140.82089552,14.6874282434,-1818.0,-6445.11940299,67,2096,52,1248,J
